Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
Pacific rhododendron,Rhododendron macrophyllum,"CAN(BC), USA(CA, OR, WA)",Ericaceae,Heath family,Perennial,"Shrub, Tree",Spring and Summer,Purple,Dark Green,Multiple Stem,Moderate,15,No,Erect,Moderate,None,Intermediate,Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
netleaf willow,Salix reticulata,"CAN(AB, BC, LB, MB, NF, NS, NT, NU, ON, QC, SK, YT), USA(AK)",Salicaceae,Willow family,Perennial,"Subshrub, Shrub",Spring,Purple,Dark Green,,Moderate,0.2,No,Erect,Slight,Low,,Early Summer,No,No,Yes,No,Yes,Yes,No,Yes,No,No
rose spirea,Spiraea douglasii,"CAN(BC), USA(AK, CA, CO, ID, MO, MT, OR, TN, WA)",Rosaceae,Rose family,Perennial,Shrub,Spring and Summer,Purple,Dark Green,Rhizomatous,Moderate,7,No,Semi-Erect,None,Medium,Intolerant,Mid Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
marsh hedgenettle,Stachys palustris,"CAN(MB, NB, NF, NS, ON, PE, QC), USA(AK, CT, DC, DE, IL, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI)",Lamiaceae,Mint family,Perennial,Forb/herb,Spring and Summer,Purple,Dark Green,Rhizomatous,Moderate,3,No,Erect,None,Low,Intermediate,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
late purple aster,Symphyotrichum patens var. patens,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Asteraceae,Aster family,Perennial,Forb/herb,"Spring, Summer, Fall",Purple,Dark Green,Multiple Stem,Moderate,2.5,No,Semi-Erect,None,Medium,Tolerant,Late Summer,No,No,Yes,No,No,Yes,No,Yes,No,No
bog blueberry,Vaccinium uliginosum,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CA, ID, ME, MI, MN, MT, NH, NV, NY, OR, UT, VT, WA, WY)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,Purple,Dark Green,Multiple Stem,Moderate,2,No,Semi-Erect,None,Low,Intermediate,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
New York ironweed,Vernonia noveboracensis,"USA(AL, CT, DC, DE, FL, GA, KY, MA, MD, NC, NH, NJ, NM, NY, OH, PA, RI, SC, TN, VA, WV)",Asteraceae,Aster family,Perennial,Forb/herb,Summer,Purple,Dark Green,Multiple Stem,Moderate,6.6,No,Erect,None,Medium,Intermediate,Late Summer,No,No,Yes,No,No,Yes,No,No,No,No
smallleaf giant hyssop,Agastache parvifolia,USA(CA),Lamiaceae,Mint family,Perennial,"Subshrub, Forb/herb",Spring and Summer,Red,Dark Green,Rhizomatous,Moderate,2,No,Erect,None,High,Intolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
nettleleaf giant hyssop,Agastache urticifolia,"CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)",Lamiaceae,Mint family,Perennial,"Forb/herb, Subshrub",Spring and Summer,Red,Dark Green,Rhizomatous,Rapid,5,No,Erect,None,Low,Intermediate,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
field pussytoes,Antennaria neglecta,"CAN(AB, BC, MB, NS, NT, ON, QC, SK), FRA(SB), USA(AR, CO, CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV, WY)",Asteraceae,Aster family,Perennial,Forb/herb,Spring and Summer,Red,Dark Green,Stoloniferous,Slow,1,No,Prostrate,None,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,No,No,No
Texas redbud,Cercis canadensis var. texensis,"USA(OK, TX)",Fabaceae,Pea family,Perennial,"Tree, Shrub",Spring,Red,Dark Green,Multiple Stem,Rapid,12,No,Rounded,None,High,Tolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
Japanese larch,Larix kaempferi,"CAN(NF, ON), USA(NJ, NY, PA)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Red,Dark Green,Single Stem,Rapid,98,No,Erect,None,None,Intolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
tamarack,Larix laricina,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA(SB), USA(AK, CT, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI, WV)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Red,Dark Green,Single Stem,Rapid,80,No,Erect,None,Low,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Brown's peony,Paeonia brownii,"USA(CA, ID, MT, NV, OR, UT, WA, WY)",Paeoniaceae,Peony family,Perennial,Forb/herb,Spring,Red,Dark Green,Single Crown,Moderate,1.5,No,Semi-Erect,None,Medium,Intermediate,Mid Spring,No,No,No,No,Yes,Yes,No,No,No,No
slash pine,Pinus elliottii,"USA(AL, FL, GA, LA, MS, NC, SC, TX)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Red,Dark Green,Single Stem,Rapid,100,No,Erect,None,Low,Intolerant,Winter,Yes,No,Yes,No,No,Yes,No,No,No,No
eastern white pine,Pinus strobus,"CAN(MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Pinaceae,Pine family,Perennial,Tree,Spring and Summer,Red,Dark Green,Single Stem,Rapid,150,No,Erect,None,None,Intermediate,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
great laurel,Rhododendron maximum,"CAN(NS), USA(AL, CT, DC, DE, GA, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",Ericaceae,Heath family,Perennial,"Tree, Shrub",Spring and Summer,Red,Dark Green,Multiple Stem,Slow,25,No,Semi-Erect,Moderate,High,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Nootka rose,Rosa nutkana,"CAN(BC), USA(AK, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Rosaceae,Rose family,Perennial,Subshrub,Spring and Summer,Red,Dark Green,Thicket Forming,Rapid,10,No,Erect,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
blackwood,Acacia melanoxylon,"USA(CA, HI)",Fabaceae,Pea family,Perennial,Tree,Spring and Summer,White,Dark Green,Multiple Stem,Rapid,40,No,Erect,None,High,Intolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
chamise,Adenostoma fasciculatum,"USA(CA, NV)",Rosaceae,Rose family,Perennial,Shrub,"Fall, Winter and Spring",White,Dark Green,Thicket Forming,,10,No,Semi-Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
common serviceberry,Amelanchier arborea,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Single Stem,Slow,36,No,Erect,None,Low,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
coastal serviceberry,Amelanchier obovalis,"USA(AL, DE, GA, MA, MD, NC, NJ, NY, PA, SC, VA)",Rosaceae,Rose family,Perennial,Shrub,Spring,White,Dark Green,Multiple Stem,Moderate,10,No,Erect,None,Low,Intolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
wild sarsaparilla,Aralia nudicaulis,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(CO, CT, DC, DE, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY)",Araliaceae,Ginseng family,Perennial,"Subshrub, Forb/herb",Spring and Summer,White,Dark Green,Rhizomatous,Moderate,1.5,No,Erect,None,Medium,Tolerant,Late Spring,No,No,Yes,No,No,No,No,Yes,No,No
Arizona madrone,Arbutus arizonica,"USA(AZ, NM)",Ericaceae,Heath family,Perennial,Tree,"Spring, Summer, Fall",White,Dark Green,Single Stem,Slow,30,No,Rounded,None,High,Intolerant,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
bigberry manzanita,Arctostaphylos glauca,USA(CA),Ericaceae,Heath family,Perennial,"Tree, Shrub",Spring,White,Dark Green,Multiple Stem,Slow,18,No,Erect,None,High,Intermediate,Late Winter,Yes,No,Yes,No,No,Yes,No,No,No,No
pointleaf manzanita,Arctostaphylos pungens,"USA(AZ, CA, NM, NV, TX, UT)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring,White,Dark Green,Multiple Stem,Slow,12,No,Erect,None,High,Intermediate,Late Winter,Yes,No,Yes,No,No,Yes,No,No,No,No
black mangrove,Avicennia germinans,"USA+(PR, VI), USA(FL, LA, MS, TX)",Verbenaceae,Verbena family,Perennial,"Tree, Shrub",Year Round,White,Dark Green,Single Stem,Rapid,30,No,Vase,Slight,Low,Intolerant,Indeterminate,Yes,No,Yes,No,No,Yes,No,No,No,No
eastern baccharis,Baccharis halimifolia,"USA(AL, AR, CT, DC, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, OK, PA, RI, SC, TN, TX, VA)",Asteraceae,Aster family,Perennial,"Tree, Shrub","Spring, Summer, Fall",White,Dark Green,Multiple Stem,Moderate,10,No,Erect,None,Low,Intermediate,Late Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
bird-of-paradise shrub,Caesalpinia gilliesii,"USA+(PR), USA(AZ, CA, GA, NM, NV, OK, TX, UT)",Fabaceae,Pea family,Perennial,"Tree, Shrub, Vine",Summer,White,Dark Green,Single Stem,Slow,35,No,Erect,None,High,Intolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
northern catalpa,Catalpa speciosa,"CAN(ON), USA(AL, AR, CO, CT, DC, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, WI, WV)",Bignoniaceae,Trumpet-creeper family,Perennial,Tree,Spring,White,Dark Green,Single Stem,Rapid,60,No,Erect,None,Medium,Intolerant,Early Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
redstem ceanothus,Ceanothus sanguineus,"CAN(BC), USA(CA, ID, MI, MT, OR, SD, WA)",Rhamnaceae,Buckthorn family,Perennial,Shrub,Spring and Summer,White,Dark Green,Multiple Stem,Slow,10,No,Erect,None,Medium,Intermediate,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Mexican orange,Choisya dumosa,"USA(AZ, NM, TX)",Rutaceae,Rue family,Perennial,Shrub,"Spring, Summer, Fall",White,Dark Green,Multiple Stem,Moderate,3,No,Semi-Erect,None,High,Intolerant,Late Spring,Yes,No,Yes,No,Yes,No,No,No,No,No
western water hemlock,Cicuta douglasii,"CAN(BC, NT), USA(AK, CA, ID, MT, NV, OR, WA)",Apiaceae,Carrot family,Perennial,Forb/herb,Spring and Summer,White,Dark Green,Single Crown,Rapid,6,No,Erect,Severe,None,Intolerant,Late Spring,Yes,No,No,No,No,Yes,No,No,Yes,No
alternateleaf dogwood,Cornus alternifolia,"CAN(MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Cornaceae,Dogwood family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Moderate,25,No,Erect,None,Low,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
bunchberry dogwood,Cornus canadensis,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NY, OH, OR, PA, RI, SD, VA, VT, WA, WI, WV, WY)",Cornaceae,Dogwood family,Perennial,"Subshrub, Shrub, Forb/herb",Spring and Summer,White,Dark Green,Rhizomatous,Slow,0.5,No,Prostrate,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
cranberry cotoneaster,Cotoneaster apiculatus,"USA(KY, OH, PA)",Rosaceae,Rose family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Rapid,5,No,Semi-Erect,None,Low,Intermediate,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
may hawthorn,Crataegus aestivalis,"USA(AL, FL, GA, MS, NC, SC, VA)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Slow,26,No,Erect,None,Low,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
cerro hawthorn,Crataegus erythropoda,"USA(AZ, CO, NM, UT, WY)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Single Stem,Slow,16,No,Semi-Erect,None,Low,Intolerant,Late Spring,No,No,No,No,No,Yes,No,No,No,Yes
common sotol,Dasylirion wheeleri,"USA(AZ, NM, TX)",Liliaceae,Lily family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Dark Green,Single Crown,Slow,15,No,Semi-Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
eightpetal mountain-avens,Dryas octopetala,"CAN(AB, BC, NT, NU, YT), DEN(GL), USA(AK, CO, ID, MT, OR, UT, WA, WY)",Rosaceae,Rose family,Perennial,"Subshrub, Shrub, Forb/herb",Spring,White,Dark Green,Single Stem,Rapid,0.3,No,Decumbent,None,Medium,Intermediate,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
tenangle pipewort,Eriocaulon decangulare,"USA(AL, AR, DC, DE, FL, GA, LA, MD, MS, NC, NJ, OK, PA, SC, TN, TX, VA)",Eriocaulaceae,Pipewort family,Perennial,Forb/herb,Spring,White,Dark Green,Bunch,Moderate,2.6,No,Erect,None,Medium,Intolerant,Spring,No,No,No,No,No,Yes,No,Yes,No,No
Cascara buckthorn,Frangula purshiana,"CAN(BC), USA(CA, ID, MT, OR, WA)",Rhamnaceae,Buckthorn family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Slow,35,No,Semi-Erect,None,Medium,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
creeping snowberry,Gaultheria hispidula,"CAN(AB, BC, LB, MB, NB, NF, NS, NU, ON, PE, QC, SK), FRA(SB), USA(CT, ID, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WA, WI, WV)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub",Spring and Summer,White,Dark Green,Stoloniferous,Slow,0.5,No,Prostrate,None,Medium,Tolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
eastern teaberry,Gaultheria procumbens,"CAN(MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Ericaceae,Heath family,Perennial,"Subshrub, Shrub","Spring, Summer, Fall",White,Dark Green,Stoloniferous,Slow,0.5,No,Prostrate,None,High,Tolerant,Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
loblolly bay,Gordonia lasianthus,"USA(AL, FL, GA, MS, NC, SC)",Theaceae,Tea family,Perennial,"Tree, Shrub","Spring, Summer, Fall",White,Dark Green,Single Stem,Slow,65,No,Erect,None,Low,Tolerant,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
rockspirea,Holodiscus dumosus,"USA(AZ, CO, ID, NM, NV, TX, UT, WY)",Rosaceae,Rose family,Perennial,Shrub,Summer and Fall,White,Dark Green,Thicket Forming,Moderate,3,No,Rounded,None,High,Intolerant,Late Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
western waterleaf,Hydrophyllum occidentale,"USA(AZ, CA, ID, NV, OR, UT)",Hydrophyllaceae,Waterleaf family,Perennial,Forb/herb,Spring and Summer,White,Dark Green,Single Crown,Moderate,1.5,No,Semi-Erect,None,Medium,Tolerant,Late Spring,No,No,Yes,No,No,Yes,No,No,No,No
large gallberry,Ilex coriacea,"USA(AL, FL, GA, LA, MS, NC, SC, TX, VA)",Aquifoliaceae,Holly family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Thicket Forming,Moderate,12,No,Erect,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
American water-willow,Justicia americana,"CAN(ON, QC), USA(AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV)",Acanthaceae,Acanthus family,Perennial,Forb/herb,Spring,White,Dark Green,Rhizomatous,Rapid,2.5,No,Erect,None,Low,Tolerant,Late Spring,Yes,No,No,No,No,No,No,No,No,No
hairy lespedeza,Lespedeza hirta,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)",Fabaceae,Pea family,Perennial,Forb/herb,Summer,White,Dark Green,Multiple Stem,Moderate,6,No,Erect,None,Medium,Intolerant,Late Summer,No,No,No,No,No,Yes,No,No,No,No
Japanese privet,Ligustrum japonicum,"USA+(PR), USA(AL, FL, GA, KY, LA, MD, MS, NC, SC, TN, TX, VA)",Oleaceae,Olive family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Rapid,10,No,Erect,Slight,Medium,Tolerant,Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Virginia water horehound,Lycopus virginicus,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Lamiaceae,Mint family,Perennial,Forb/herb,Spring and Summer,White,Dark Green,Stoloniferous,Moderate,4,No,Erect,None,Low,Tolerant,Summer,No,No,No,No,No,Yes,No,Yes,No,No
sweetbay,Magnolia virginiana,"USA(AL, AR, DC, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, SC, TN, TX, VA)",Magnoliaceae,Magnolia family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Single Stem,Moderate,60,No,Climbing,None,None,Intermediate,Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Japanese pachysandra,Pachysandra terminalis,"CAN(ON), USA(CT, DC, DE, IL, IN, MA, MD, MN, NC, NJ, NY, OH, PA, SC, VA)",Buxaceae,Boxwood family,Perennial,"Forb/herb, Subshrub",Spring and Summer,White,Dark Green,Rhizomatous,Slow,0.8,No,Erect,None,Low,Tolerant,Early Summer,No,No,Yes,No,No,No,No,Yes,No,No
redberry buckthorn,Rhamnus crocea,"USA(AZ, CA)",Rhamnaceae,Buckthorn family,Perennial,"Shrub, Tree","Spring, Summer, Fall",White,Dark Green,Multiple Stem,Slow,5,No,Vase,None,High,Intolerant,Early Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
smooth azalea,Rhododendron arborescens,"USA(AL, GA, KY, MD, MS, NC, NY, PA, SC, TN, VA, WV)",Ericaceae,Heath family,Perennial,Shrub,Spring and Summer,White,Dark Green,Multiple Stem,Moderate,18,No,Semi-Erect,None,Low,Tolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
wax currant,Ribes cereum,"CAN(BC), USA(AZ, CA, CO, ID, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY)",Grossulariaceae,Currant family,Perennial,Shrub,Spring and Summer,White,Dark Green,Multiple Stem,Rapid,3,No,Rounded,None,High,Intolerant,Early Summer,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
Sierra gooseberry,Ribes roezlii,"USA(CA, NV, OR)",Grossulariaceae,Currant family,Perennial,Shrub,Spring and Summer,White,Dark Green,Multiple Stem,Moderate,5,No,Semi-Erect,None,High,Intermediate,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,Yes
climbing rose,Rosa setigera,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Rosaceae,Rose family,Perennial,"Vine, Subshrub",Spring,White,Dark Green,Single Stem,Rapid,16,No,Climbing,None,High,Intolerant,Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
Brazilian peppertree,Schinus terebinthifolius,"USA+(PR, VI), USA(AL, CA, FL, HI, TX, UM)",Anacardiaceae,Sumac family,Perennial,"Tree, Shrub",Year Round,White,Dark Green,Multiple Stem,Moderate,30,No,Erect,None,Low,Intolerant,Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,No
western mountain ash,Sorbus sitchensis var. grayi,"CAN(BC, YT), USA(AK, CA, OR, WA)",Rosaceae,Rose family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Single Stem,Slow,15,No,Erect,None,Low,Intolerant,Late Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
small white clover,Trifolium nigrescens,"USA(AL, FL, GA, LA, MS, TN)",Fabaceae,Pea family,Annual,Forb/herb,Spring and Summer,White,Dark Green,Single Crown,Moderate,1,No,Erect,None,None,Intolerant,Mid Spring,No,No,No,No,No,Yes,No,No,No,No
farkleberry,Vaccinium arboreum,"USA(AL, AR, FL, GA, IL, IN, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Ericaceae,Heath family,Perennial,"Tree, Shrub",Spring and Summer,White,Dark Green,Multiple Stem,Moderate,28,No,Erect,None,Medium,Tolerant,Late Summer,Yes,No,Yes,No,No,Yes,No,No,No,No
aloe yucca,Yucca aloifolia,"USA+(PR, VI), USA(AL, FL, GA, LA, MS, NC, SC, TX)",Agavaceae,Century-plant family,Perennial,"Tree, Shrub",Spring,White,Dark Green,Colonizing,Slow,15,No,Erect,Slight,Medium,Intermediate,Early Summer,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
coastal wattle,Acacia cyclops,USA(CA),Fabaceae,Pea family,Perennial,Shrub,Spring and Summer,Yellow,Dark Green,Multiple Stem,Rapid,12,No,Semi-Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
Utah agave,Agave utahensis,"USA(AZ, CA, NV, UT)",Agavaceae,Century-plant family,Perennial,"Subshrub, Shrub, Forb/herb",Spring and Summer,Yellow,Dark Green,Single Stem,Moderate,1,No,Erect,None,High,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
speckled alder,Alnus incana ssp. rugosa,"CAN(LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IL, IN, MA, MD, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)",Betulaceae,Birch family,Perennial,"Tree, Shrub",Spring and Summer,Yellow,Dark Green,Multiple Stem,Moderate,16,No,Semi-Erect,None,Low,Intermediate,Early Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
pond apple,Annona glabra,"USA+(PR, VI), USA(FL)",Annonaceae,Custard-apple family,Perennial,"Tree, Shrub",,Yellow,Dark Green,Single Stem,,10,No,Erect,None,Medium,Tolerant,,No,No,No,No,Yes,Yes,No,No,No,Yes
Japanese barberry,Berberis thunbergii,"CAN(NB, NS, ON, PE, QC), USA(CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY)",Berberidaceae,Barberry family,Perennial,Shrub,Spring and Summer,Yellow,Dark Green,Multiple Stem,Moderate,6,No,Rounded,None,Low,Intolerant,Late Spring,Yes,No,Yes,No,Yes,Yes,No,No,No,No
bog birch,Betula pumila,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(CA, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, VT, WA, WI)",Betulaceae,Birch family,Perennial,Shrub,Spring and Summer,Yellow,Dark Green,Multiple Stem,Moderate,20,No,Semi-Erect,None,Low,Intolerant,Mid Spring,Yes,No,Yes,No,No,Yes,No,No,No,No
brown mustard,Brassica juncea,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Brassicaceae,Mustard family,"Annual, Perennial",Forb/herb,"Fall, Winter and Spring",Yellow,Dark Green,Single Crown,Rapid,4,No,Erect,None,Low,Intolerant,Early Spring,No,No,No,No,No,Yes,No,No,No,Yes
rape,Brassica napus,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), DEN(GL), USA(AK, AL, AR, CA, CO, CT, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OK, OR, RI, SC, TN, VA, VT, WA, WI, WV)",Brassicaceae,Mustard family,"Annual, Biennial",Forb/herb,"Fall, Winter and Spring",Yellow,Dark Green,Single Crown,Rapid,4,No,Erect,None,Low,Intolerant,Early Spring,No,No,No,No,No,Yes,No,No,No,Yes
pinegrass,Calamagrostis rubescens,"CAN(AB, BC, MB, SK), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)",Poaceae,Grass family,Perennial,Graminoid,Spring and Summer,Yellow,Dark Green,Rhizomatous,Slow,3,Yes,Semi-Erect,None,Low,Tolerant,Late Spring,No,No,No,No,No,Yes,No,Yes,No,No
