Common_Name,Scientific_Name,Family_Common_Name,Duration,Flower_Color,Foliage_Color,Growth_Habit,"Height,_Mature_(feet)",Toxicity,Drought_Tolerance,Shade_Tolerance,Bloom_Period,Palatable_Human
Scouler's woollyweed,Hieracium scouleri,Aster family,Perennial,Orange,Gray-Green,Forb/herb,2,None,High,Intolerant,Late Spring,No
saltmarsh bird's-beak,Cordylanthus maritimus,Figwort family,Annual,Purple,Gray-Green,Forb/herb,1.7,None,Low,Intolerant,Late Spring,No
featherplume,Dalea formosa,Pea family,Perennial,Purple,Gray-Green,"Subshrub, Shrub",3,None,High,Intolerant,Indeterminate,No
littleleaf ratany,Krameria erecta,Krameria family,Perennial,Purple,Gray-Green,"Subshrub, Shrub",2,None,High,Intolerant,Early Spring,No
Great Basin lupine,Lupinus ×alpestris,Pea family,Perennial,Purple,Gray-Green,Forb/herb,2.2,Moderate,High,Intolerant,Summer,No
meadow evening primrose,Oenothera pilosella,Evening Primrose family,Perennial,Purple,Gray-Green,Forb/herb,2,None,Low,Intermediate,Late Spring,No
showy locoweed,Oxytropis splendens,Pea family,Perennial,Purple,Gray-Green,Forb/herb,1,None,Low,Intolerant,Late Summer,No
Palmer's penstemon,Penstemon palmeri,Figwort family,Perennial,Purple,Gray-Green,"Subshrub, Forb/herb",3.5,None,High,Intolerant,Late Spring,No
common selfheal,Prunella vulgaris,Mint family,Perennial,Purple,Gray-Green,Forb/herb,1.5,None,Medium,Intermediate,Mid Summer,Yes
common blue wood aster,Symphyotrichum cordifolium,Aster family,Perennial,Purple,Gray-Green,Forb/herb,5,None,Medium,Intolerant,Summer,No
purple poppymallow,Callirhoe involucrata,Mallow family,Perennial,Red,Gray-Green,Forb/herb,1,None,Medium,Intolerant,Mid Spring,Yes
wild bergamot,Monarda fistulosa,Mint family,Perennial,Red,Gray-Green,"Subshrub, Forb/herb",4.9,None,None,Intermediate,Summer,No
Douglas' grasswidow,Olsynium douglasii var. douglasii,Iris family,Perennial,Red,Gray-Green,Forb/herb,1,None,Medium,Intolerant,Early Spring,No
purple locoweed,Oxytropis lambertii,Pea family,Perennial,Red,Gray-Green,Forb/herb,1.4,Severe,Medium,Intolerant,Mid Spring,No
pearly pussytoes,Antennaria anaphaloides,Aster family,Perennial,White,Gray-Green,Forb/herb,2.5,None,Medium,Intermediate,Late Spring,No
flat-top pussytoes,Antennaria corymbosa,Aster family,Perennial,White,Gray-Green,Forb/herb,1,None,Low,Tolerant,Spring,No
rush pussytoes,Antennaria luzuloides,Aster family,Perennial,White,Gray-Green,"Subshrub, Forb/herb",2,None,Medium,Intolerant,Late Spring,No
little sagebrush,Artemisia arbuscula,Aster family,Perennial,White,Gray-Green,"Shrub, Subshrub",2,None,High,Intolerant,Late Summer,No
prairie sagewort,Artemisia frigida,Aster family,Perennial,White,Gray-Green,Subshrub,2,None,High,Intermediate,Summer,No
woollypod milkvetch,Astragalus purshii,Pea family,Perennial,White,Gray-Green,Forb/herb,0.6,Slight,High,Intolerant,Mid Spring,No
Carolina fanwort,Cabomba caroliniana,Water-shield family,Perennial,White,Gray-Green,Forb/herb,,None,None,Intermediate,Indeterminate,No
spreading alkaliweed,Cressa truxillensis,Morning-glory family,Perennial,White,Gray-Green,"Subshrub, Forb/herb",0.8,None,Low,Intolerant,Late Spring,No
Canadian waterweed,Elodea canadensis,Tape-grass family,Perennial,White,Gray-Green,Forb/herb,,None,None,Intolerant,Summer,No
desert yellow fleabane,Erigeron linearis,Aster family,Perennial,White,Gray-Green,Forb/herb,1,None,High,Intolerant,Late Spring,No
rockloving erigeron,Erigeron petrophilus,Aster family,Perennial,White,Gray-Green,Forb/herb,1,None,Medium,Tolerant,Mid Summer,No
thymeleaf buckwheat,Eriogonum thymoides,Buckwheat family,Perennial,White,Gray-Green,"Subshrub, Forb/herb",1,None,High,Intolerant,Mid Summer,No
Tasmanian bluegum,Eucalyptus globulus,Myrtle family,Perennial,White,Gray-Green,Tree,160,None,Low,Intolerant,Fall,No
grand eucalyptus,Eucalyptus grandis,Myrtle family,Perennial,White,Gray-Green,Tree,160,None,Low,Intolerant,Fall,No
salt heliotrope,Heliotropium curassavicum,Borage family,"Annual, Perennial",White,Gray-Green,"Forb/herb, Subshrub",1.2,None,Medium,Intolerant,Mid Spring,No
crimsoneyed rosemallow,Hibiscus moscheutos,Mallow family,"Annual, Perennial",White,Gray-Green,"Subshrub, Forb/herb",6.6,None,None,Intolerant,Summer,No
white hawkweed,Hieracium albiflorum,Aster family,Perennial,White,Gray-Green,Forb/herb,3,None,High,Intermediate,Late Spring,No
Carolina redroot,Lachnanthes caroliana,Bloodwort family,Perennial,White,Gray-Green,Forb/herb,3,None,Low,Intolerant,Late Spring,No
bog Labrador tea,Ledum groenlandicum,Heath family,Perennial,White,Gray-Green,Shrub,3,None,Medium,Intermediate,Late Spring,No
bigseed biscuitroot,Lomatium macrocarpum,Carrot family,Perennial,White,Gray-Green,Forb/herb,0.5,None,High,Intolerant,Early Spring,Yes
sacahuista,Nolina microcarpa,Lily family,Perennial,White,Gray-Green,"Subshrub, Shrub",4,Slight,High,Intolerant,Mid Spring,Yes
bristly dewberry,Rubus hispidus,Rose family,Perennial,White,Gray-Green,Subshrub,2,None,Medium,Intolerant,Spring,No
dwarf palmetto,Sabal minor,Palm family,Perennial,White,Gray-Green,"Tree, Shrub",9,None,None,Tolerant,Late Spring,No
cabbage palmetto,Sabal palmetto,Palm family,Perennial,White,Gray-Green,Tree,90,None,Low,Tolerant,Summer,Yes
northern mountain ash,Sorbus decora,Rose family,Perennial,White,Gray-Green,"Tree, Shrub",40,Slight,Low,Tolerant,Early Summer,Yes
honeycup,Zenobia pulverulenta,Heath family,Perennial,White,Gray-Green,Shrub,6,None,None,Tolerant,Early Summer,No
Pacific silver fir,Abies amabilis,Pine family,Perennial,Yellow,Gray-Green,Tree,165,None,Low,Tolerant,Late Spring,No
Thurber's needlegrass,Achnatherum thurberianum,Grass family,Perennial,Yellow,Gray-Green,Graminoid,2,None,High,Intolerant,Mid Spring,No
silver sagebrush,Artemisia cana,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub",5,None,High,Intolerant,Late Summer,No
forked wormwood,Artemisia furcata var. heterophylla,Aster family,Perennial,Yellow,Gray-Green,Forb/herb,4,None,Medium,Intolerant,Mid Spring,No
Wyoming big sagebrush,Artemisia tridentata ssp. wyomingensis,Aster family,Perennial,Yellow,Gray-Green,"Shrub, Tree",3,None,High,Intolerant,Late Summer,No
curvepod milkvetch,Astragalus curvicarpus,Pea family,Perennial,Yellow,Gray-Green,Forb/herb,0.4,Severe,High,Intolerant,Late Summer,No
sickle saltbush,Atriplex falcata,Goosefoot family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub",2,Slight,High,Intermediate,Fall,No
Gardner's saltbush,Atriplex gardneri,Goosefoot family,Perennial,Yellow,Gray-Green,"Shrub, Subshrub",4,None,High,Intolerant,Late Summer,No
bluegreen saltbush,Atriplex nummularia,Goosefoot family,Perennial,Yellow,Gray-Green,Shrub,9,None,High,Intolerant,Winter,No
horseflyweed,Baptisia tinctoria,Pea family,Perennial,Yellow,Gray-Green,Forb/herb,2.5,None,High,Intolerant,Mid Summer,No
blue wildrye,Elymus glaucus,Grass family,Perennial,Yellow,Gray-Green,Graminoid,3.3,None,High,Tolerant,Early Summer,No
thickspike wheatgrass,Elymus lanceolatus ssp. lanceolatus,Grass family,Perennial,Yellow,Gray-Green,Graminoid,2.5,None,High,Intolerant,Mid Spring,No
hidden buckwheat,Eriogonum capistratum,Buckwheat family,Perennial,Yellow,Gray-Green,Forb/herb,1,None,High,Intolerant,Late Spring,No
marumleaf buckwheat,Eriogonum marifolium,Buckwheat family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",0.8,None,High,Intolerant,Late Spring,No
Blue Mountain buckwheat,Eriogonum strictum,Buckwheat family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",2.2,None,High,Intolerant,Late Spring,No
sulphur-flower buckwheat,Eriogonum umbellatum,Buckwheat family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub, Forb/herb",1,None,High,Intolerant,Early Summer,No
swampmahogany,Eucalyptus robusta,Myrtle family,Perennial,Yellow,Gray-Green,Tree,160,None,Low,Intolerant,Late Winter,No
Idaho fescue,Festuca idahoensis,Grass family,Perennial,Yellow,Gray-Green,Graminoid,2,None,Low,Intermediate,Early Summer,No
stretchberry,Forestiera pubescens var. pubescens,Olive family,Perennial,Yellow,Gray-Green,Shrub,6,None,Medium,Intolerant,Early Spring,No
hairy false goldenaster,Heterotheca villosa,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",3,None,Medium,Intolerant,Mid Summer,No
hairy false goldenaster,Heterotheca villosa var. villosa,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",4.5,None,Medium,Intolerant,Mid Summer,No
sweetgrass,Hierochloe odorata,Grass family,Perennial,Yellow,Gray-Green,Graminoid,2,None,Low,Intermediate,Mid Summer,No
woolly beachheather,Hudsonia tomentosa,Rock-rose family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub",1,None,High,Intolerant,Late Spring,No
big deervetch,Lotus crassifolius,Pea family,Perennial,Yellow,Gray-Green,Forb/herb,3.5,None,Low,Intolerant,Late Spring,No
Suksdorf's monkeyflower,Mimulus suksdorfii,Figwort family,Annual,Yellow,Gray-Green,Forb/herb,0.6,None,Low,Tolerant,Mid Spring,No
Brunswickgrass,Paspalum nicorae,Grass family,Perennial,Yellow,Gray-Green,Graminoid,2,None,Low,Intolerant,Late Spring,No
Canadian lousewort,Pedicularis canadensis,Figwort family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",1.3,None,Low,Tolerant,Late Spring,No
bud sagebrush,Picrothamnus desertorum,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub",2,Moderate,High,Intolerant,Mid Spring,No
woolly plantain,Plantago patagonica,Plantain family,Annual,Yellow,Gray-Green,Forb/herb,0.5,None,High,Intolerant,Mid Spring,No
glaucous bluegrass,Poa glauca ssp. glauca,Grass family,Perennial,Yellow,Gray-Green,Graminoid,1,None,High,Intolerant,Late Spring,No
slender cinquefoil,Potentilla gracilis,Rose family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",2.4,None,Medium,Intolerant,Early Summer,No
Platte River cinquefoil,Potentilla plattensis,Rose family,Perennial,Yellow,Gray-Green,Forb/herb,0.5,,Low,Intermediate,Late Spring,No
blue oak,Quercus douglasii,Beech family,Perennial,Yellow,Gray-Green,Tree,60,None,High,Intolerant,Spring,Yes
bristly buttercup,Ranunculus hispidus,Buttercup family,Perennial,Yellow,Gray-Green,Forb/herb,2.5,None,Low,Tolerant,Early Spring,No
cutleaf coneflower,Rudbeckia laciniata,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",8.2,None,High,Tolerant,Late Summer,No
great coneflower,Rudbeckia maxima,Aster family,Perennial,Yellow,Gray-Green,Forb/herb,9.8,None,None,Intolerant,Summer,No
yewleaf willow,Salix taxifolia,Willow family,Perennial,Yellow,Gray-Green,Tree,40,,Medium,Intolerant,Late Spring,No
little bluestem,Schizachyrium scoparium var. divergens,Grass family,Perennial,Yellow,Gray-Green,Graminoid,4,None,High,Intolerant,Early Summer,No
thrift mock goldenweed,Stenotus armerioides var. armerioides,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Forb/herb",1,None,High,Intolerant,Late Spring,No
shortspine horsebrush,Tetradymia spinosa,Aster family,Perennial,Yellow,Gray-Green,"Subshrub, Shrub",3.2,Severe,High,Intolerant,Mid Spring,No
mountain big sagebrush,Artemisia tridentata ssp. vaseyana,Aster family,Perennial,,Gray-Green,"Tree, Shrub",7,None,Medium,Intolerant,Fall,No
Pacific yew,Taxus brevifolia,Yew family,Perennial,,Gray-Green,Tree,40,Moderate,Medium,Tolerant,Early Summer,No
Columbian monkshood,Aconitum columbianum,Buttercup family,Perennial,Blue,Green,Forb/herb,5,Moderate,Low,Intermediate,Early Summer,No
small camas,Camassia quamash,Lily family,Perennial,Blue,Green,Forb/herb,2.3,None,None,Tolerant,Mid Spring,Yes
Atlantic camas,Camassia scilloides,Lily family,Perennial,Blue,Green,Forb/herb,2.5,None,Low,Tolerant,Mid Spring,Yes
American bellflower,Campanulastrum americanum,Bellflower family,Annual,Blue,Green,Forb/herb,6,None,Low,Tolerant,Summer,No
New Jersey tea,Ceanothus americanus,Buckthorn family,Perennial,Blue,Green,"Subshrub, Shrub",3,None,High,Tolerant,Late Spring,Yes
wartleaf ceanothus,Ceanothus papillosus,Buckthorn family,Perennial,Blue,Green,Shrub,16,None,High,Intermediate,Early Spring,No
Port Orford cedar,Chamaecyparis lawsoniana,Cypress family,Perennial,Blue,Green,Tree,200,None,Low,Tolerant,Mid Spring,No
chicory,Cichorium intybus,Aster family,"Biennial, Perennial",Blue,Green,Forb/herb,2,None,Medium,Intolerant,Mid Summer,Yes
maiden blue eyed Mary,Collinsia parviflora,Figwort family,Annual,Blue,Green,Forb/herb,1,None,Low,Tolerant,Mid Spring,No
Virginia dayflower,Commelina virginica,Spiderwort family,Perennial,Blue,Green,Forb/herb,3.5,None,Low,Tolerant,Mid Summer,No
blue mistflower,Conoclinium coelestinum,Aster family,Perennial,Blue,Green,Forb/herb,3.2,None,Medium,Tolerant,Summer,No
dixie ticktrefoil,Desmodium tortuosum,Pea family,"Annual, Perennial",Blue,Green,"Subshrub, Forb/herb",9,None,High,Intolerant,Summer,No
Rainier pleated gentian,Gentiana calycosa,Gentian family,Perennial,Blue,Green,Forb/herb,0.6,None,None,Tolerant,Late Summer,No
lignum-vitae,Guaiacum officinale,Creosote-bush family,Perennial,Blue,Green,Tree,30,,,Intolerant,Spring,No
holywood,Guaiacum sanctum,Creosote-bush family,Perennial,Blue,Green,"Shrub, Tree",30,,Medium,,Spring,No
waterpod,Hydrolea quadrivalvis,Waterleaf family,Perennial,Blue,Green,Forb/herb,1.5,None,Medium,Intolerant,Indeterminate,No
Virginia iris,Iris virginica,Iris family,Perennial,Blue,Green,Forb/herb,3.3,None,None,Tolerant,Spring,No
Lewis flax,Linum lewisii,Flax family,Perennial,Blue,Green,"Subshrub, Forb/herb",2,None,Medium,Intolerant,Indeterminate,No
big blue lilyturf,Liriope muscari,Lily family,Perennial,Blue,Green,Forb/herb,0.5,None,Medium,Tolerant,Late Summer,No
sicklekeel lupine,Lupinus albicaulis,Pea family,Annual,Blue,Green,Forb/herb,3,Moderate,Low,Intolerant,Late Summer,No
narrowleaf lupine,Lupinus angustifolius,Pea family,Annual,Blue,Green,Forb/herb,4,Moderate,Low,Intolerant,Late Summer,No
arctic lupine,Lupinus arcticus,Pea family,Perennial,Blue,Green,Forb/herb,2,Severe,Low,Intermediate,Spring,Yes
tailcup lupine,Lupinus caudatus,Pea family,Perennial,Blue,Green,Forb/herb,5,Severe,Medium,Intolerant,Summer,No
shaggy lupine,Lupinus covillei,Pea family,Perennial,Blue,Green,Forb/herb,10,Severe,None,Intolerant,Late Summer,No
Big Bend bluebonnet,Lupinus havardii,Pea family,Annual,Blue,Green,Forb/herb,20,None,High,Intermediate,Early Spring,No
broadleaf lupine,Lupinus latifolius,Pea family,Perennial,Blue,Green,Forb/herb,25,Severe,None,Tolerant,Mid Spring,No
Pacific lupine,Lupinus lepidus,Pea family,Perennial,Blue,Green,Forb/herb,6,Severe,High,Intolerant,Early Summer,No
silky lupine,Lupinus sericeus,Pea family,Perennial,Blue,Green,"Subshrub, Forb/herb",6,Severe,High,Intolerant,Early Summer,No
tall fringed bluebells,Mertensia ciliata,Borage family,Perennial,Blue,Green,Forb/herb,2,None,Low,Intermediate,Late Spring,No
Virginia bluebells,Mertensia virginica,Borage family,Perennial,Blue,Green,Forb/herb,2.3,None,Low,Tolerant,Spring,No
sharpwing monkeyflower,Mimulus alatus,Figwort family,Perennial,Blue,Green,Forb/herb,2.3,None,None,Tolerant,Summer,No
true forget-me-not,Myosotis scorpioides,Borage family,Perennial,Blue,Green,Forb/herb,1.5,None,None,Intermediate,Mid Spring,No
sharpleaf penstemon,Penstemon acuminatus,Figwort family,Perennial,Blue,Green,Forb/herb,2,None,High,Intolerant,Late Spring,No
Alberta beardtongue,Penstemon albertinus,Figwort family,Perennial,Blue,Green,"Subshrub, Forb/herb",2,None,Low,Intermediate,Summer,No
Wasatch beardtongue,Penstemon cyananthus,Figwort family,Perennial,Blue,Green,Forb/herb,2.5,None,Low,Intolerant,Late Spring,No
bush penstemon,Penstemon fruticosus,Figwort family,Perennial,Blue,Green,Subshrub,2,None,Medium,Intolerant,Mid Spring,No
Gairdner's beardtongue,Penstemon gairdneri,Figwort family,Perennial,Blue,Green,"Subshrub, Forb/herb",1,None,High,Intolerant,Late Spring,No
Rydberg's penstemon,Penstemon rydbergii,Figwort family,Perennial,Blue,Green,"Subshrub, Forb/herb",3,Slight,Low,Intolerant,Mid Summer,No
lacy phacelia,Phacelia tanacetifolia,Waterleaf family,Annual,Blue,Green,Forb/herb,4,None,Medium,Intolerant,Early Spring,No
tall Jacob's-ladder,Polemonium acutiflorum,Phlox family,Perennial,Blue,Green,Forb/herb,3,,None,Tolerant,Summer,No
pickerelweed,Pontederia cordata,Water-Hyacinth family,Perennial,Blue,Green,Forb/herb,3.2,None,None,Intolerant,Late Spring,No
quaking aspen,Populus tremuloides,Willow family,Perennial,Blue,Green,Tree,65,None,Low,Intolerant,Mid Spring,No
pitcher sage,Salvia azurea var. grandiflora,Mint family,Perennial,Blue,Green,Forb/herb,3,None,Low,Intolerant,Spring,No
purple sage,Salvia dorrii,Mint family,Perennial,Blue,Green,"Subshrub, Shrub",2.5,None,Medium,Intolerant,Late Spring,No
narrowleaf blue-eyed grass,Sisyrinchium angustifolium,Iris family,Perennial,Blue,Green,Forb/herb,2,None,Low,Intermediate,Mid Spring,No
crookedstem aster,Symphyotrichum prenanthoides,Aster family,Perennial,Blue,Green,Forb/herb,4,None,Medium,Intolerant,Summer,No
purplestem aster,Symphyotrichum puniceum var. puniceum,Aster family,Perennial,Blue,Green,"Subshrub, Forb/herb",8.1,None,Low,Intolerant,Fall,No
eastern annual saltmarsh aster,Symphyotrichum subulatum,Aster family,"Annual, Biennial",Blue,Green,Forb/herb,3,None,Low,Intolerant,Late Summer,No
Virginia spiderwort,Tradescantia virginiana,Spiderwort family,Perennial,Blue,Green,Forb/herb,1.1,None,Medium,Intermediate,Spring,No
largeflower triteleia,Triteleia grandiflora,Lily family,Perennial,Blue,Green,Forb/herb,2,None,Medium,Intermediate,Mid Spring,Yes
American speedwell,Veronica americana,Figwort family,Perennial,Blue,Green,Forb/herb,0.8,None,Low,Tolerant,Mid Summer,No
American alpine speedwell,Veronica wormskjoldii,Figwort family,Perennial,Blue,Green,Forb/herb,1,None,Low,Intermediate,Summer,No
common bamboo,Bambusa vulgaris,Grass family,Perennial,Brown,Green,"Tree, Subshrub, Graminoid",50,None,Medium,Intolerant,Indeterminate,No
river birch,Betula nigra,Birch family,Perennial,Brown,Green,Tree,70,None,Low,Intolerant,Mid Spring,No
European white birch,Betula pendula,Birch family,Perennial,Brown,Green,Tree,60,None,Low,Intolerant,Mid Spring,No
gray birch,Betula populifolia,Birch family,Perennial,Brown,Green,Tree,25,None,Medium,Intermediate,Mid Spring,No
Columbian sedge,Carex aperta,Sedge family,Perennial,Brown,Green,Graminoid,2,None,None,Intolerant,Early Spring,No
shorthair sedge,Carex exserta,Sedge family,Perennial,Brown,Green,Graminoid,1,None,High,Intermediate,Late Spring,No
Japanese sedge,Carex kobomugi,Sedge family,Perennial,Brown,Green,Graminoid,1,None,High,Intolerant,Early Summer,No
beaked sedge,Carex rostrata,Sedge family,Perennial,Brown,Green,Graminoid,3.5,None,Low,Tolerant,Late Spring,No
rock sedge,Carex saxatilis,Sedge family,Perennial,Brown,Green,Graminoid,2,None,Low,Intermediate,Late Spring,No
haspan flatsedge,Cyperus haspan,Sedge family,Perennial,Brown,Green,Graminoid,3.2,None,Low,Intolerant,Late Spring,No
fragrant flatsedge,Cyperus odoratus,Sedge family,"Annual, Perennial",Brown,Green,Graminoid,2,None,Low,Intolerant,Late Summer,No
strawcolored flatsedge,Cyperus strigosus,Sedge family,Perennial,Brown,Green,Graminoid,3.2,None,Low,Intolerant,Summer,No
chestnut rush,Juncus castaneus,Rush family,Perennial,Brown,Green,Graminoid,1.5,None,None,Intolerant,Summer,No
Colorado rush,Juncus confusus,Rush family,Perennial,Brown,Green,Graminoid,1.5,None,Low,Intermediate,Late Summer,No
Drummond's rush,Juncus drummondii,Rush family,Perennial,Brown,Green,Graminoid,1.5,None,Low,Intermediate,Summer,No
grassleaf rush,Juncus marginatus,Rush family,Perennial,Brown,Green,Graminoid,2,None,Low,Intermediate,Late Spring,No
Sierra rush,Juncus nevadensis,Rush family,Perennial,Brown,Green,Graminoid,2,None,Low,Intermediate,Late Spring,No
Parry's rush,Juncus parryi,Rush family,Perennial,Brown,Green,Graminoid,1,None,Medium,Intermediate,Mid Summer,No
sapodilla,Manilkara zapota,Sapodilla family,Perennial,Brown,Green,Tree,50,None,Low,Intermediate,Indeterminate,No
